value
#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2008,06,26,10,06,999,99.0,99.0,99.00,99.00,99.00,999,1018.2,999.0,27.0,999.0,99.0,99.00
2008,06,26,10,12,999,99.0,99.0,99.00,99.00,99.00,999,1018.1,999.0,27.0,999.0,99.0,99.00
2008,06,26,10,18,999,99.0,99.0,99.00,99.00,99.00,999,1018.1,999.0,27.0,999.0,99.0,99.00
2008,06,26,10,24,999,99.0,99.0,99.00,99.00,99.00,999,1018.1,999.0,27.0,999.0,99.0,99.00
2008,06,26,10,30,999,99.0,99.0,99.00,99.00,99.00,999,1018.0,999.0,27.0,999.0,99.0,99.00
2008,06,26,10,36,88,6.3,7.8,99.00,99.00,99.00,999,1017.9,24.4,27.0,999.0,99.0,99.00
2008,06,26,10,42,999,99.0,99.0,99.00,99.00,99.00,999,1017.8,999.0,26.9,999.0,99.0,99.00
2008,06,26,10,48,999,99.0,99.0,99.00,99.00,99.00,999,1017.8,999.0,26.9,999.0,99.0,99.00
2008,06,26,10,54,999,99.0,99.0,99.00,99.00,99.00,999,1017.7,999.0,26.9,999.0,99.0,99.00
2008,06,26,11,00,999,99.0,99.0,99.00,99.00,99.00,999,1017.6,999.0,26.9,999.0,99.0,99.00
2008,06,26,11,06,999,99.0,99.0,99.00,99.00,99.00,999,1017.6,999.0,26.9,999.0,99.0,99.00
2008,06,26,11,12,999,99.0,99.0,99.00,99.00,99.00,999,1017.5,999.0,26.9,999.0,99.0,99.00
2008,06,26,11,18,999,99.0,99.0,99.00,99.00,99.00,999,1017.5,999.0,26.9,999.0,99.0,99.00
2008,06,26,11,24,999,99.0,99.0,99.00,99.00,99.00,999,1017.5,999.0,26.9,999.0,99.0,99.00
2008,06,26,11,30,999,99.0,99.0,99.00,99.00,99.00,999,1017.5,999.0,26.9,999.0,99.0,99.00
2008,06,26,11,36,79,5.4,7.3,99.00,99.00,99.00,999,1017.4,24.5,26.9,999.0,99.0,99.00
2008,06,26,11,42,999,99.0,99.0,99.00,99.00,99.00,999,1017.4,999.0,26.9,999.0,99.0,99.00
2008,06,26,11,48,999,99.0,99.0,99.00,99.00,99.00,999,1017.4,999.0,26.9,999.0,99.0,99.00
2008,06,26,11,54,999,99.0,99.0,99.00,99.00,99.00,999,1017.4,999.0,26.9,999.0,99.0,99.00
2008,06,26,12,00,999,99.0,99.0,99.00,99.00,99.00,999,1017.3,999.0,26.9,999.0,99.0,99.00
2008,06,26,12,06,999,99.0,99.0,99.00,99.00,99.00,999,1017.3,999.0,26.9,999.0,99.0,99.00
2008,06,26,12,12,999,99.0,99.0,99.00,99.00,99.00,999,1017.2,999.0,26.9,999.0,99.0,99.00
2008,06,26,12,18,999,99.0,99.0,99.00,99.00,99.00,999,1017.1,999.0,26.9,999.0,99.0,99.00
2008,06,26,12,24,999,99.0,99.0,99.00,99.00,99.00,999,1017.1,999.0,26.9,999.0,99.0,99.00
2008,06,26,12,30,999,99.0,99.0,99.00,99.00,99.00,999,1017.0,999.0,26.9,999.0,99.0,99.00
